Sub Prod Cd,Acct Nbr,Tran Cd,Trans Desc,Tran Detail Desc,Db Cr Cd,Category,Post Dt,Tran Amt,MCC,Merchant Type,SIC Code Group Type,Presentation
Checking ,1,1071,VISA DEBIT                             ,17440044 OPPD                402-5524744  NE       ,D,Utilities,6/24/2014,199.62,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,1415 COX*OMAHA COMM SERV 402-177-7000 NE       ,D,Utilities,6/23/2014,192.91,4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services)
Checking ,1,1055,ACH WITHDRAWAL                         ,COX COMM OMA     BANK DRAFT 1720144710044701001    ,D,Utilities,7/23/2014,192.91,4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services)
Checking ,1,1071,VISA DEBIT                             ,1415 OPPD                402-576-4171 NE       ,D,Utilities,5/30/2014,192.71,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,1415 BEST BUY      000024OMAHA        NE       ,D,Electronics/Housing,6/2/2014,181.89,5712,"Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances","Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances","Furniture, Home Furnishings, and Equipment Stores, ExceptAppliances"
Checking ,1,1055,ACH WITHDRAWAL                         ,COX COMM OMA     BANK DRAFT 1720144710044701001    ,D,Utilities,5/23/2014,179.36,4899,Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services),Cable and other pay television (previously Cable Services)
Checking ,1,1071,VISA DEBIT                             ,1415 FAREWAY STORES #047 OMAHA        NE       ,D,Grocery,5/27/2014,177.48,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,4265 WM SUPERCENTER #4600GRETNA       NE       ,D,Grocery,6/6/2014,177.19,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 FAST MART           NORFOLK      NE       ,D,Auto/Gas,6/10/2014,175.22,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 WM SUPERCENTER #5761OMAHA        NE       ,D,Grocery,7/16/2014,173.55,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 AUTOZONE #1654      OMAHA        NE       ,D,Auto/Travel,5/5/2014,163.67,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,4265 WAL-MART #4600      GRETNA       NE       ,D,Retail,5/5/2014,162.72,5310,Discount Stores,Discount Stores,Discount Stores
Checking ,1,5785,CHECK IMAGE CHECK                      ,                                               ,D,,8/4/2014,162.34,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,SPRINT44006716111 ACHBILLPAY 0044777420044744          ,D,Utilities,9/3/2014,150,4813,Special Telecom Merchants,Special Telecom Merchants,Special Telecom Merchants
Checking ,1,1003,CUSTOMER DEPOSIT                       ,                                               ,C,,8/7/2014,550,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 COHEN N KELLYS LOUNGOMAHA        NE       ,D,Restaurants/Bars,6/2/2014,149.5,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,1415 THE V OMAHA         OMAHA        NE       ,D,Restaurants/Bars,7/30/2014,148.46,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,1415 STEEL STEED STEAKHOUELGIN        NE       ,D,Restaurants/Bars,6/10/2014,145.01,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,17440044 GEICO               4400-4441-7000 DC       ,D,Insurance,9/2/2014,140.09,6399,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)"
Checking ,1,1085,LOCAL ATM WITHDRAWAL                   ,17440044 17710 WEST MAPLE W  OMAHA        NE       ,D,ATM / CASH,8/1/2014,140,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,0145 WAL-MART #7260044      OMAHA        NE       ,D,Retail,7/10/2014,137.94,5310,Discount Stores,Discount Stores,Discount Stores
Checking ,1,1055,ACH WITHDRAWAL                         ,FARMERS MUTUAL   INS PREM   AU265200445AUTO       ,D,Insurance ,5/19/2014,134.67,6399,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)"
Checking ,1,1055,ACH WITHDRAWAL                         ,FARMERS MUTUAL   INS PREM   AU265200445AUTO       ,D,Insurance ,6/18/2014,134.67,6399,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)"
Checking ,1,1055,ACH WITHDRAWAL                         ,FARMERS MUTUAL   INS PREM   AU265200445AUTO       ,D,Insurance ,7/18/2014,134.67,6399,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)"
Checking ,1,1071,VISA DEBIT                             ,17440044 AMAZON MKTPLACE PMTSAMZN.COM/BIL WA       ,D,Recreation,7/21/2014,133.98,5942,Book Stores,Book Stores,Book Stores
Checking ,1,1055,ACH WITHDRAWAL                         ,FARMERS MUTUAL   INS PREM   AU265200445AUTO       ,D,Insurance ,8/18/2014,125,6399,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)","Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)"
Checking ,1,1071,VISA DEBIT                             ,17440044 METROPOLITAN UTILITI402-5040044200044  NE       ,D,Utilities,6/24/2014,124.1,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Grocery,7/21/2014,115.88,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 PLN*PRICELINE RENTAL444444-4470044-7004400444 CT       ,D,Unclassified,6/3/2014,115.65,7011,"Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)"
Checking ,1,1071,VISA DEBIT                             ,4265 KOHL'S #0220        OMAHA        NE       ,D,Clothing/Retail,5/30/2014,115.51,5691,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Grocery,6/26/2014,111.36,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,5764,INTERLINK/NETS POS                     ,4265 COSTCO WHSE #1012   OMAHA        NE       ,D,Grocery,5/29/2014,108.71,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 AMC OAK VIEW 24 #0044OMAHA        NE       ,D,Recreation,5/5/2014,104.25,7833,MOTION PICTURE THEATER (QUICK PAYMENT SERVICE),MOTION PICTURE THEATER (QUICK PAYMENT SERVICE),MOTION PICTURE THEATER (QUICK PAYMENT SERVICE)
Checking ,1,5764,INTERLINK/NETS POS                     ,4265 COSTCO WHSE #1012   OMAHA        NE       ,D,Grocery,5/22/2014,103.13,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 OREILLY AUTO  000070OMAHA        NE       ,D,Auto/Travel,5/12/2014,102.45,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Clothing/Retail,5/27/2014,101.76,5691,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores
Checking ,1,5839,FOREIGN ATM WITHDRAWAL                 ,1415 10702 SOUTH 1644TH STOMAHA        NE       ,D,ATM / CASH,7/10/2014,100,,#N/A,#N/A,#N/A
Checking ,1,5839,FOREIGN ATM WITHDRAWAL                 ,1415 20TH & FARNAM       OMAHA        NE       ,D,ATM / CASH,8/4/2014,100,,#N/A,#N/A,#N/A
Checking ,1,1085,LOCAL ATM WITHDRAWAL                   ,1415 401 SOUTH HWY. 6    GRETNA       NE       ,D,ATM / CASH,6/6/2014,100,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,17440044 AmazonPrime Membershamzn.com/prm NV       ,D,Recreation,7/22/2014,99,5968,Direct Marketing – Continuity/Subscription Merchant,Direct Marketing – Continuity/Subscription Merchant,Direct Marketing – Continuity/Subscription Merchant
Checking ,1,1097,LOC MINIMUM PAYMENT                    ,                                               ,D,Fee,9/2/2014,98.37,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 CHEESECAKE FACTORY #OMAHA        NE       ,D,Restaurants/Bars,6/27/2014,97.85,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,4265 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,5/12/2014,97.81,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,17440044 BAKERS #0715        OMAHA        NE       ,D,Grocery,8/18/2014,96.24,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 THE CADDY SHACK     OMAHA        NE       ,D,Restaurants/Bars,6/30/2014,95.5,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,0145 THE CADDY SHACK     OMAHA        NE       ,D,Restaurants/Bars,7/10/2014,94.83,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
Checking ,1,1071,VISA DEBIT                             ,17440044 TM *ROB ZOMBIE      4400-657-44000 IL       ,D,Recreation,6/17/2014,93.11,5942,Book Stores,Book Stores,Book Stores
Checking ,1,5785,CHECK IMAGE CHECK                      ,                                               ,D,,8/1/2014,91,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,17440044 BAKERS #0715        OMAHA        NE       ,D,Grocery,7/21/2014,90.85,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,5764,INTERLINK/NETS POS                     ,4265 COSTCO WHSE #1012   OMAHA        NE       ,D,Grocery,5/12/2014,90.45,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,17440044 BAKERS #0715        OMAHA        NE       ,D,Grocery,6/16/2014,89.85,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,4265 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,6/2/2014,88.82,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,6/10/2014,86.59,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 BUCK'S 444           OMAHA        NE       ,D,Auto/Gas,5/15/2014,86.48,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,6/24/2014,86.04,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,0145 WM SUPERCENTER #4600GRETNA       NE       ,D,Healthcare,7/7/2014,85.44,5912,Drug Stores and Pharmacies,Drug Stores and Pharmacies,Drug Stores and Pharmacies
Checking ,1,1071,VISA DEBIT                             ,0145 SEPHORA 222         OMAHA        NE       ,D,Clothing/Retail,7/14/2014,84.53,5631,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops,Women’s Accessory and Specialty Shops
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Grocery,8/18/2014,84.14,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 KUM & GO #700440       GRETNA       NE       ,D,Auto/Gas,7/8/2014,83.58,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 HY VEE GAS 5400442     OMAHA        NE       ,D,Auto/Gas,7/28/2014,82.95,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 SCHEELS-OMAHA       OMAHA        NE       ,D,Sporting Goods/Retail,7/1/2014,81.57,5941,Sporting Goods Stores,Sporting Goods Stores,Sporting Goods Stores
Checking ,1,1071,VISA DEBIT                             ,1415 HY-VEE OMAHA #2 GA  OMAHA        NE       ,D,Grocery,6/26/2014,81.47,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 S&E 66              GRETNA       NE       ,D,Auto/Gas,7/7/2014,81.19,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,5/5/2014,80.33,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,8/19/2014,225.84,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,5/13/2014,234.67,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,8/5/2014,235.06,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,7/22/2014,248.32,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,9/2/2014,259.34,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,7/8/2014,311.46,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,6/24/2014,344.67,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,6/10/2014,345.73,,#N/A,#N/A,#N/A
Checking ,1,1007,ACH DEPOSIT                            ,123 Company,C,Paycheck,5/27/2014,380.68,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 S&E 66              GRETNA       NE       ,D,Auto/Gas,5/23/2014,78.36,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 SWESTRN FANTASY     OMAHA        NE       ,D,Auto/Gas,6/3/2014,78.28,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,5764,INTERLINK/NETS POS                     ,17440044 KOHL'S #0775 17550 WOMAHA        NE       ,D,Clothing/Retail,5/29/2014,77,5691,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores,Men’s and Women’s Clothing Stores
Checking ,1,1071,VISA DEBIT                             ,17440044 BAKERS #0715        OMAHA        NE       ,D,Grocery,8/22/2014,76.08,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 BUCKY'S EXPRESS     BELLEVUE     NE       ,D,Auto/Gas,6/17/2014,75,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1055,ACH WITHDRAWAL                         ,AMERICAN FUNDS   INVESTMENT 000000000447512651    ,D,Investment,5/21/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,AMERICAN FUNDS   INVESTMENT 000000000447512651    ,D,Investment,6/23/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,AMERICAN FUNDS   INVESTMENT 000000000447512651    ,D,Investment,7/22/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,AMERICAN FUNDS   INVESTMENT 000000000447512651    ,D,Investment,8/21/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1055,ACH WITHDRAWAL                         ,SCWF-A INVESTMEN INVESTMENT 000000000447512651    ,D,Investment,8/27/2014,75,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 S&E 66              GRETNA       NE       ,D,Auto/Gas,5/5/2014,74.85,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1055,ACH WITHDRAWAL                         ,BHENERGY         WEB_PAY    0102144004444047014     ,D,Utilities,5/20/2014,74.16,4900,"Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities","Electric, Gas, Sanitary and Water Utilities"
Checking ,1,1071,VISA DEBIT                             ,1415 QT 511        040051OMAHA        NE       ,D,Auto/Gas,7/24/2014,73.48,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 S&E 66              GRETNA       NE       ,D,Auto/Gas,6/23/2014,73.33,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,1415 JENSEN TIRE #11     OMAHA        NE       ,D,Auto/Travel,5/13/2014,73,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,4265 WAL-MART #4600      GRETNA       NE       ,D,Retail,5/14/2014,72.98,5310,Discount Stores,Discount Stores,Discount Stores
Checking ,1,1071,VISA DEBIT                             ,1415 RIGEL AIRPORT SERVICOMAHA        NE       ,D,Travel,6/3/2014,71.88,5969,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified,Direct Marketing – Not Elsewhere Classified
Checking ,1,1071,VISA DEBIT                             ,4265 HY VEE GAS 5461     NORFOLK      NE       ,D,Auto/Gas,6/9/2014,71.44,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Grocery,8/25/2014,70.56,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,1071,VISA DEBIT                             ,1415 KUM & GO #760       OMAHA        NE       ,D,Auto/Gas,7/14/2014,70.17,5542,Automated Fuel Dispensers,Automated Fuel Dispensers,Automated Fuel Dispensers
Checking ,1,1071,VISA DEBIT                             ,17440044 TARGET        000057OMAHA        NE       ,D,Grocery,8/18/2014,70.14,5411,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets,Grocery Stores/Supermarkets
Checking ,1,5651,BILL PAYER DEBIT                       ,GREAT WESTERN    BILLPAY                       ,D,Loan Payment,5/5/2014,70,,#N/A,#N/A,#N/A
Checking ,1,5651,BILL PAYER DEBIT                       ,GREAT WESTERN    BILLPAY                       ,D,Loan Payment,6/5/2014,70,,#N/A,#N/A,#N/A
Checking ,1,5651,BILL PAYER DEBIT                       ,GREAT WESTERN    BILLPAY                       ,D,Loan Payment,7/7/2014,70,,#N/A,#N/A,#N/A
Checking ,1,5651,BILL PAYER DEBIT                       ,GREAT WESTERN    BILLPAY                       ,D,Loan Payment,8/5/2014,70,,#N/A,#N/A,#N/A
Checking ,1,1071,VISA DEBIT                             ,1415 KONA GRILL OMAHA 100044OMAHA        NE       ,D,Restaurants/Bars,5/19/2014,69.97,5812,Eating places and Restaurants,Eating places and Restaurants,Eating places and Restaurants
